sep=;
Pelvis Position;COM;Instant Linear Accel;Accel Error;Total Energy
-0.045,1.44,0.045;-0.04208,1.563,0.06529;30.72,-112.2,42.65;0;1717
-0.045,1.48,0.045;-0.0423,1.603,0.06508;31.05,-114.5,43.06;0;1715
-0.045,1.52,0.045;-0.04256,1.642,0.06515;29.67,-108.7,44.7;0;1702
-0.045,1.56,0.045;-0.04277,1.68,0.06568;27.67,-102.6,48.53;0;1682
-0.045,1.6,0.045;-0.04288,1.719,0.06617;25.02,-94.03,51.18;0;1661
-0.005,1.4,-0.075;-0.00529,1.523,-0.04962;31.74,-123.2,58.11;0;1689
-0.005,1.44,-0.075;-0.006876,1.565,-0.04852;29.42,-127.3,56.28;0;1699
-0.005,1.48,-0.075;-0.007714,1.605,-0.04729;27.36,-126,60.96;0;1688
-0.005,1.52,-0.075;-0.00818,1.644,-0.04621;26.12,-122.7,67.76;0;1673
-0.005,1.56,-0.075;-0.008417,1.682,-0.04511;24.98,-112.8,71.83;0;1656
-0.005,1.6,-0.075;-0.008575,1.721,-0.04389;23.29,-100.4,73.93;0;1639
-0.005,1.4,-0.035;-0.008425,1.524,-0.006714;22.13,-101.6,58.34;0;1671
-0.005,1.44,-0.035;-0.008501,1.565,-0.006528;23.28,-107.3,57.54;0;1683
-0.005,1.48,-0.035;-0.008587,1.605,-0.006104;23.75,-111.5,59.54;0;1683
-0.005,1.52,-0.035;-0.008649,1.644,-0.00594;22.96,-104.6,58.89;0;1675
-0.005,1.56,-0.035;-0.00863,1.683,-0.005284;21.69,-97.52,61.12;0;1661
-0.005,1.6,-0.035;-0.008538,1.722,-0.004698;19.92,-88.83,62.45;0;1645
-0.005,1.4,0.005;-0.008233,1.524,0.03104;19.33,-100.9,52;0;1678
-0.005,1.44,0.005;-0.00818,1.564,0.03013;21,-106.3,48.14;0;1693
-0.005,1.48,0.005;-0.008242,1.604,0.03008;21.76,-109.5,48.8;0;1693
-0.005,1.52,0.005;-0.00828,1.643,0.03016;20.94,-102.5,48.98;0;1682
-0.005,1.56,0.005;-0.008255,1.682,0.03074;19.65,-96.33,52.11;0;1666
-0.005,1.6,0.005;-0.008165,1.72,0.03123;17.74,-88.35,54.18;0;1648
-0.005,1.4,0.045;-0.00788,1.522,0.06619;17.64,-103.4,44.27;0;1687
-0.005,1.44,0.045;-0.007834,1.563,0.06487;19.62,-108.3,39.26;0;1704
-0.005,1.48,0.045;-0.00791,1.602,0.06469;20.37,-110.5,39.52;0;1702
-0.005,1.52,0.045;-0.00797,1.641,0.06483;19.74,-104.2,41;0;1690
-0.005,1.56,0.045;-0.007971,1.68,0.06544;18.44,-98.37,44.89;0;1671
-0.005,1.6,0.045;-0.007901,1.718,0.06599;16.31,-90.34,47.63;0;1651
0.035,1.4,-0.075;0.02892,1.523,-0.04984;18.53,-118.7,54.36;0;1675
0.035,1.44,-0.075;0.02731,1.565,-0.04863;15.99,-122.2,53.1;0;1683
0.035,1.48,-0.075;0.02664,1.605,-0.04733;14.56,-121.1,57.84;0;1673
0.035,1.52,-0.075;0.0264,1.644,-0.04624;14.12,-117.8,64.65;0;1659
0.035,1.56,-0.075;0.02636,1.682,-0.04507;13.77,-107.6,68.13;0;1643
0.035,1.6,-0.075;0.0262,1.721,-0.04313;11.71,-94.18,68.93;0;1629
0.035,1.4,-0.035;0.02579,1.524,-0.006398;9.525,-95.6,54.46;0;1656
0.035,1.44,-0.035;0.02575,1.565,-0.006336;10.48,-100.9,53.74;0;1667
0.035,1.48,-0.035;0.02585,1.605,-0.005956;11.37,-105.8,55.96;0;1667
0.035,1.52,-0.035;0.02602,1.644,-0.005809;11.45,-98.91,55.11;0;1660
0.035,1.56,-0.035;0.02627,1.683,-0.005163;10.98,-92.57,57.41;0;1648
0.035,1.6,-0.035;0.02655,1.722,-0.004613;9.851,-84.69,58.85;0;1634
0.035,1.4,0.005;0.02617,1.523,0.03087;8.122,-96.34,49;0;1664
0.035,1.44,0.005;0.02614,1.564,0.02991;9.416,-101.9,45.44;0;1677
0.035,1.48,0.005;0.02622,1.604,0.02988;10.49,-105.3,46.11;0;1676
0.035,1.52,0.005;0.02638,1.643,0.02999;10.56,-98.8,46.4;0;1667
0.035,1.56,0.005;0.02661,1.682,0.03055;9.991,-92.92,49.34;0;1653
0.035,1.6,0.005;0.02688,1.72,0.03106;8.638,-85.35,51.46;0;1637
0.035,1.4,0.045;0.02648,1.522,0.06583;7.307,-99.6,41.8;0;1671
0.035,1.44,0.045;0.02643,1.563,0.06451;8.843,-104.7,37.08;0;1686
0.035,1.48,0.045;0.0265,1.602,0.06437;9.905,-107,37.36;0;1685
0.035,1.52,0.045;0.02664,1.641,0.06457;10.08,-101.1,38.92;0;1674
0.035,1.56,0.045;0.02684,1.68,0.06518;9.457,-95.35,42.59;0;1657
0.035,1.6,0.045;0.02709,1.718,0.06575;7.873,-87.64,45.35;0;1639
0.075,1.4,-0.075;0.06316,1.523,-0.05016;6.028,-114.7,51.99;0;1659
0.075,1.44,-0.075;0.06154,1.565,-0.04885;3.257,-117.7,51.41;0;1664
0.075,1.48,-0.075;0.06104,1.605,-0.04748;2.457,-116.6,56.34;0;1655
0.075,1.52,-0.075;0.06101,1.644,-0.04639;2.78,-113.2,63;0;1643
0.075,1.56,-0.075;0.06114,1.683,-0.04515;3.298,-102.9,65.9;0;1629
0.075,1.6,-0.075;0.06134,1.721,-0.04387;3.326,-91.25,67.33;0;1616
0.075,1.4,-0.035;0.06007,1.524,-0.007151;-0.02403,-92.56,53.01;0;1639
0.075,1.44,-0.035;0.05987,1.565,-0.00707;0.1188,-97.63,52.3;0;1648
0.075,1.48,-0.035;0.06009,1.605,-0.006638;0.8047,-102.2,54.42;0;1648
0.075,1.52,-0.035;0.06047,1.644,-0.006401;1.625,-95.58,53.7;0;1642
0.075,1.56,-0.035;0.06092,1.683,-0.005723;1.788,-89.29,55.64;0;1632
0.075,1.6,-0.035;0.0614,1.722,-0.00512;1.17,-81.74,57.01;0;1620
0.075,1.4,0.005;0.06036,1.524,0.03026;-1.701,-92.46,47.29;0;1645
0.075,1.44,0.005;0.06027,1.564,0.02932;-0.9812,-97.97,44.05;0;1656
0.075,1.48,0.005;0.06051,1.604,0.02934;0.2411,-101.5,44.82;0;1656
0.075,1.52,0.005;0.06089,1.643,0.02951;1.042,-95.1,45.03;0;1649
0.075,1.56,0.005;0.06133,1.682,0.0301;1.103,-89.53,47.78;0;1637
0.075,1.6,0.005;0.06179,1.72,0.03064;0.2785,-82.35,49.85;0;1623
0.075,1.4,0.045;0.06074,1.522,0.06531;-2.157,-95.67,40.45;0;1652
0.075,1.44,0.045;0.06062,1.563,0.06402;-1.152,-100.8,36.07;0;1665
0.075,1.48,0.045;0.06083,1.602,0.06393;0.1353,-103.3,36.48;0;1663
0.075,1.52,0.045;0.06118,1.641,0.06415;1.024,-97.43,37.82;0;1654
0.075,1.56,0.045;0.06158,1.68,0.06479;1.019,-91.96,41.27;0;1640
0.075,1.6,0.045;0.06201,1.718,0.06538;-0.0395,-84.66,44;0;1625
0.115,1.4,-0.075;0.09742,1.524,-0.05065;-5.577,-110.7,51.05;0;1640
0.115,1.44,-0.075;0.09579,1.566,-0.04922;-8.602,-113.1,51.16;0;1643
0.115,1.48,-0.075;0.09545,1.605,-0.04779;-8.804,-111.9,56.31;0;1635
0.115,1.52,-0.075;0.09563,1.644,-0.0467;-7.719,-108.5,62.77;0;1625
0.115,1.56,-0.075;0.09592,1.683,-0.04542;-6.116,-98.11,64.9;0;1613
0.115,1.6,-0.075;0.09627,1.721,-0.04412;-5.25,-86.8,65.75;0;1602
0.115,1.4,-0.035;0.09433,1.524,-0.007536;-9.411,-87.95,52.03;0;1620
0.115,1.44,-0.035;0.09404,1.566,-0.007511;-9.752,-92.76,51.5;0;1627
0.115,1.48,-0.035;0.0944,1.606,-0.00708;-9.088,-97.2,53.6;0;1628
0.115,1.52,-0.035;0.09497,1.645,-0.006781;-7.564,-90.73,52.89;0;1623
0.115,1.56,-0.035;0.09562,1.683,-0.006102;-6.783,-84.87,54.55;0;1615
0.115,1.6,-0.035;0.09628,1.722,-0.005499;-6.881,-77.94,55.82;0;1605
0.115,1.4,0.005;0.09462,1.524,0.02979;-10.58,-87.91,46.57;0;1625
0.115,1.44,0.005;0.09445,1.565,0.02885;-10.33,-93.33,43.72;0;1635
0.115,1.48,0.005;0.09483,1.604,0.02891;-9.014,-97.06,44.8;0;1635
0.115,1.52,0.005;0.0954,1.643,0.02908;-7.53,-90.81,44.69;0;1629
0.115,1.56,0.005;0.09603,1.682,0.02968;-6.892,-85.61,47.13;0;1619
0.115,1.6,0.005;0.09667,1.72,0.03022;-7.225,-78.92,49.09;0;1607
0.115,1.4,0.045;0.09501,1.522,0.06486;-10.5,-91.4,40.13;0;1631
0.115,1.44,0.045;0.0948,1.563,0.06358;-9.977,-96.48,36.16;0;1641
0.115,1.48,0.045;0.09515,1.603,0.06353;-8.548,-99.31,36.82;0;1641
0.115,1.52,0.045;0.09568,1.641,0.06376;-7.004,-93.48,37.8;0;1633
0.115,1.56,0.045;0.09627,1.68,0.0644;-6.456,-88.34,40.95;0;1622
0.115,1.6,0.045;0.09688,1.718,0.065;-7.039,-81.45,43.52;0;1609
