Balanced?;Pelvis;Left Hip;Left Knee;Right Hip;Right Knee
(0.1416, -0.6208, 0);(-3.807, 0.6, -2.179);(-3.557, 0.6, -2.179);(-4.043, 0.2832, -2.116);(-3.793, 0.2832, -2.116);(-3.744, 0.1374, -2.143);(-3.494, 0.1374, -2.143)
(0.1254, -0.6281, 0);(-3.807, 0.7, -2.179);(-3.557, 0.7, -2.179);(-4.055, 0.3911, -2.124);(-3.805, 0.3911, -2.124);(-3.762, 0.2322, -2.14);(-3.512, 0.2322, -2.14)
(0.1148, -0.6324, 0);(-3.807, 0.8, -2.179);(-3.557, 0.8, -2.179);(-4.063, 0.4961, -2.132);(-3.813, 0.4961, -2.132);(-3.774, 0.3293, -2.142);(-3.524, 0.3293, -2.142)
(0.2201, -0.3664, 0);(-3.807, 0, -2.079);(-3.557, 0, -2.079);(-3.948, -0.2967, -2.308);(-3.698, -0.2967, -2.308);(-3.637, -0.2231, -2.407);(-3.387, -0.2231, -2.407)
(0.2193, -0.2962, 0);(-3.807, 0.1, -2.079);(-3.557, 0.1, -2.079);(-3.951, -0.1698, -2.337);(-3.701, -0.1698, -2.337);(-3.639, -0.05666, -2.376);(-3.389, -0.05666, -2.376)
(0.2046, -0.3599, 0);(-3.807, 0.2, -2.079);(-3.557, 0.2, -2.079);(-3.995, -0.08896, -2.282);(-3.745, -0.08896, -2.282);(-3.669, -0.01976, -2.303);(-3.419, -0.01976, -2.303)
(0.1822, -0.4122, 0);(-3.807, 0.3, -2.079);(-3.557, 0.3, -2.079);(-4.037, 0.01006, -2.231);(-3.787, 0.01005, -2.231);(-3.704, 0.0333, -2.248);(-3.454, 0.03331, -2.248)
(0.1616, -0.4504, 0);(-3.807, 0.4, -2.079);(-3.557, 0.4, -2.079);(-4.067, 0.1179, -2.193);(-3.817, 0.1179, -2.193);(-3.733, 0.1036, -2.21);(-3.483, 0.1036, -2.21)
(0.1464, -0.4762, 0);(-3.807, 0.5, -2.079);(-3.557, 0.5, -2.079);(-4.086, 0.2273, -2.168);(-3.836, 0.2273, -2.168);(-3.755, 0.1859, -2.176);(-3.505, 0.1859, -2.176)
(0.1358, -0.4882, 0);(-3.807, 0.6, -2.079);(-3.557, 0.6, -2.079);(-4.098, 0.3358, -2.152);(-3.848, 0.3358, -2.152);(-3.769, 0.2785, -2.152);(-3.519, 0.2785, -2.152)
(0.1286, -0.4945, 0);(-3.807, 0.7, -2.079);(-3.557, 0.7, -2.079);(-4.106, 0.4418, -2.14);(-3.856, 0.4418, -2.14);(-3.779, 0.3745, -2.143);(-3.529, 0.3745, -2.143)
